OBJECTID,ain,ASI_Status,situsaddress,situscity,situszip,LV_IV_Ratio,YearBuiltMax,usecode,usetype,usedescription,Vacant_Use,Publicly_Owned,unitstotal,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,SP_LUP1,SP_LUP_Desc1,PctSpLupArea1,SP_LUP2,SP_LUP_Desc2,PctSpLupArea2,SP_LUP3,SP_LUP_Desc3,PctSpLupArea3,Acres,LUP_Units_Total,LUP_MinDens,LUP_MaxDens,Site_Status,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Lot_Size_Consolidated,Lot_Consolidation_Notes,Consolidation_Adj_APNs,Previous_HE,Shape__Area,Shape__Length
56,8761011017,Nonvacant,1457 NOGALES ST,ROWLAND HEIGHTS CA,91748-2251,1.43923029,1979,1320,Commercial,Department Stores,Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,C-3-BE,100,,0,,0,C,100,,0,,0,,,0,,,0,,,0,3.19458947,160,20 du/net ac,50 du/net ac,Available,42,42,0,0,84,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,139156.3184,1493.496448
57,8173038060,Vacant,7907 SORENSEN AVE,WHITTIER CA,90606-2418,0,0,100V,Commercial,Commercial,Vacant Use,NO - Privately-Owned,0,4,East Los Angeles / Gateway,Gateway Planning Area,WEST WHITTIER - LOS NIETOS,General Plan 2035,C-3-BE,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.64457649,33,20 du/net ac,50 du/net ac,Available,9,9,0,0,18,VL/L,,,,,Not Used in Prior Housing Element,28077.75195,677.2795608
58,7409019014,Nonvacant,820 SEPULVEDA BLVD,HARBOR CITY CA,90710-1605,1.56666755,1979,1830,Commercial,Hotel & Motels,Non Vacant Use,NO - Privately-Owned,0,2,Coastal South Los Angeles,South Bay Planning Area,WEST CARSON,General Plan 2035,C-2,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,1.30851321,66,20 du/net ac,50 du/net ac,Available,23,22,0,0,45,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,56998.83496,1520.421769
59,8167014031,Nonvacant,9719 CARMENITA RD,WHITTIER CA,90605-3248,3.09092488,1974,2100,Commercial,"Restaurants, Cocktail Lounges",Non Vacant Use,NO - Privately-Owned,0,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,C-2-BE,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.61677685,31,20 du/net ac,50 du/net ac,Available,9,8,0,0,17,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,26866.80078,1061.318054
60,8173023024,Nonvacant,11529 WASHINGTON BLVD,WHITTIER CA,90606-3123,0.21520216,1969,2100,Commercial,"Restaurants, Cocktail Lounges",Non Vacant Use,NO - Privately-Owned,0,4,East Los Angeles / Gateway,Gateway Planning Area,WEST WHITTIER - LOS NIETOS,General Plan 2035,C-2-BE,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,1.06776688,54,20 du/net ac,50 du/net ac,Available,15,14,0,0,29,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,46511.92578,854.1644929
61,8169021016,Nonvacant,8536 NORWALK BLVD,WHITTIER CA,90606-3320,1.91673102,1970,2100,Commercial,"Restaurants, Cocktail Lounges",Non Vacant Use,NO - Privately-Owned,0,4,East Los Angeles / Gateway,Gateway Planning Area,WEST WHITTIER - LOS NIETOS,General Plan 2035,C-3-BE,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.50188809,26,20 du/net ac,50 du/net ac,Available,7,7,0,0,14,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,21862.24707,714.2603217
62,2826063026,Nonvacant,24820 PICO CANYON RD,NEWHALL CA,91381-1700,1.65746932,1994,2120,Commercial,"Restaurants, Cocktail Lounges",Non Vacant Use,NO - Privately-Owned,0,5,Santa Clarita Valley,Santa Clarita Valley Planning Area,SANTA CLARITA VALLEY,Santa Clarita Valley Area Plan,C-3,100,,0,,0,CM,100,,0,,0,,,0,,,0,,,0,0.78048344,40,18 du/net ac,50 du/net ac,Available,14,13,0,0,27,VL/L,,,,,Not Used in Prior Housing Element,33997.86035,779.2265533
63,8167014030,Nonvacant,9727 CARMENITA RD,WHITTIER CA,90605-3248,2.50015153,1972,1100,Commercial,Stores,Non Vacant Use,NO - Privately-Owned,0,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,C-2-BE,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.53179133,27,20 du/net ac,50 du/net ac,Available,8,7,0,0,15,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,23164.83398,721.8372568
64,8209020027,Nonvacant,1629 S AZUSA AVE,HACIENDA HEIGHTS CA,91745-3832,2.27272846,1977,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,C-2-BE,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,8.71897137,262,18 du/net ac,30 du/net ac,Available,69,68,0,0,137,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,379798.3945,5163.416579
65,8761011013,Nonvacant,Daisetta St & S Nogales St,,91748,0.33999939,0,6600,Recreational,Golf Courses,Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,C-3-BE,100,,0,,0,C,100,,0,,0,,,0,,,0,,,0,8.129027,407,20 du/net ac,50 du/net ac,Available,106,106,0,0,212,VL/L,,,,,Not Used in Prior Housing Element,354100.418,2778.734095
